CPC_Id,CostPerClick,Search_Volume,Search_Results
1,4.301600000000001,609630,2914809700
2,3.44,116670,416712000
3,15.5025,11310,26130054
4,1.34,1900,234900000
5,3.77,6520,47760000
7,7.78,50,51200000
8,3.900869565217391,34660,127932100
9,2.987777777777778,6600,14877000
10,3.441666666666666,29610,40754356
11,3.441551724137931,120660,5229820768
