Traffic_Id,Traffic,Traffic_Percent,Traffic_Cost,Traffic_Cost_Percent
1,12498,1.3354,46198,1.4218
2,2272,0.5252173913043479,7106,0.4726086956521739
3,122,0.16,509,0.195
4,12,0.0125,13,0.005
5,43,0.07,160,0.08
7,0,0.0,0,0.0
8,838,0.1921739130434783,1970,0.1286956521739131
9,80,0.04222222222222222,201,0.03111111111111111
10,1036,0.2275,2270,0.1429166666666667
11,1771,0.16,6411,0.1672413793103449
